Date,Watch time (hours)
2019-05-24,0.1762
2019-05-25,0.5235
2019-05-26,0.3659
2019-05-27,0.1832
2019-05-28,0.6961
2019-05-29,0.4842
2019-05-30,0.1864
2019-05-31,0.1185
2019-06-01,0.376
2019-06-02,1.3237
2019-06-03,0.4821
2019-06-04,0.1519
2019-06-05,0.1014
2019-06-06,0.2237
2019-06-07,0.0974
2019-06-08,0.0944
2019-06-09,0.1305
2019-06-10,0.1202
2019-06-11,0.0398
2019-06-12,0.0848
2019-06-13,0.0598
2019-06-14,0.0741
2019-06-15,0.0706
2019-06-16,0.1581
2019-06-17,0.0958
2019-06-18,0.107
2019-06-19,0.1192
2019-06-20,0.046
2019-06-21,0.0423
2019-06-22,0.0318
2019-06-23,0.0763
2019-06-24,0.0555
2019-06-25,1.8351
2019-06-26,1.0023
2019-06-27,0.2744
2019-06-28,1.1134
2019-06-29,0.7807
2019-06-30,0.9566
2019-07-01,0.9295
2019-07-02,0.803
2019-07-03,0.5053
2019-07-04,0.4042
2019-07-05,0.653
2019-07-06,0.3304
2019-07-07,0.4776
2019-07-08,0.3243
2019-07-09,0.3608
2019-07-10,0.2121
2019-07-11,0.2123
2019-07-12,0.2427
2019-07-13,0.2229
2019-07-14,0.4291
2019-07-15,0.2641
2019-07-16,0.3009
2019-07-17,0.402
2019-07-18,0.4881
2019-07-19,0.7294
2019-07-20,0.6396
2019-07-21,0.2085
2019-07-22,0.2334
2019-07-23,0.1169
2019-07-24,0.1528
2019-07-25,0.3483
2019-07-26,0.2574
2019-07-27,0.1701
2019-07-28,0.1942
2019-07-29,0.2041
2019-07-30,0.2701
2019-07-31,0.2051
2019-08-01,0.2739
2019-08-02,0.3735
2019-08-03,0.3812
2019-08-04,0.1657
2019-08-05,0.3659
2019-08-06,0.3151
2019-08-07,0.1144
2019-08-08,0.2257
2019-08-09,0.3189
2019-08-10,0.209
2019-08-11,0.2998
2019-08-12,0.1194
2019-08-13,0.4778
2019-08-14,0.1384
2019-08-15,0.1839
2019-08-16,0.1822
2019-08-17,0.1996
2019-08-18,0.2837
2019-08-19,0.1901
2019-08-20,0.2757
2019-08-21,0.3694
2019-08-22,0.1534
2019-08-23,0.21
2019-08-24,0.4061
2019-08-25,0.1431
2019-08-26,0.2727
2019-08-27,0.06
2019-08-28,0.2019
2019-08-29,0.1308
2019-08-30,0.1665
2019-08-31,0.4171
2019-09-01,0.4143
2019-09-02,1.0704
2019-09-03,0.972
2019-09-04,0.5914
2019-09-05,0.6251
2019-09-06,0.2587
2019-09-07,0.6946
2019-09-08,0.3078
2019-09-09,0.3816
2019-09-10,0.2528
2019-09-11,0.3126
2019-09-12,0.3527
2019-09-13,0.3359
2019-09-14,0.4516
2019-09-15,1.0463
2019-09-16,0.3503
2019-09-17,0.1799
2019-09-18,0.3732
